email,project_name,description,department
sender1@gmail.com,Marketing Campaign,Marketing team sender,Marketing
sender2@gmail.com,Marketing Campaign,Marketing team sender,Marketing
sender3@gmail.com,Sales Outreach,Sales team sender,Sales
sender4@gmail.com,Sales Outreach,Sales team sender,Sales
sender5@gmail.com,Customer Support,Support team sender,Support
sender6@gmail.com,Customer Support,Support team sender,Support
sender7@gmail.com,Recruitment,HR team sender,HR
sender8@gmail.com,Recruitment,HR team sender,HR
sender9@gmail.com,Newsletter,Communications team sender,Communications
sender10@gmail.com,Newsletter,Communications team sender,Communications 
